index	oReact_retrieval	xReact_retrieval
dia266_utt0	Others feel protective, angry, motivated	Jonah feels protective, angry, motivated
dia266_utt1	Others feel grateful, happy, lucky	Jonah feels grateful, happy, lucky
dia266_utt2	Others feel mad, none, uncomfortable	Nico feels mad, none, uncomfortable
dia266_utt3	Others feel eager, excited, none	Nico feels eager, excited, none
dia266_utt4	Others feel like they made a good decision., glad to have been given importance, informed	Jonah feels like they made a good decision., glad to have been given importance, informed
dia267_utt0	Others feel good about himself/herself, helpful, happy	Garrett feels good about himself/herself, helpful, happy
dia267_utt1	Others feel heard, noticed, engaged	Garrett feels heard, noticed, engaged
dia267_utt2	Others feel good, informative, upset	Marcus feels good, informative, upset
dia267_utt3	Others feel the need to clarify, energized by a more comprehensive understanding of things., that they understood things in a section by section manner.	Garrett feels the need to clarify, energized by a more comprehensive understanding of things., that they understood things in a section by section manner.
dia267_utt4	Others feel the need to clarify, energized by a more comprehensive understanding of things., that they understood things in a section by section manner.	Garrett feels the need to clarify, energized by a more comprehensive understanding of things., that they understood things in a section by section manner.
dia267_utt5	Others feel pleased, content, full	Marcus feels pleased, content, full
dia272_utt0	Others feel none, convinced, at home	Dina feels none, convinced, at home
dia272_utt1	Others feel none, happy, pretty	Dina feels none, happy, pretty
dia272_utt2	Others feel happy, none, none	Amy feels happy, none, none
dia272_utt3	Others feel accomplished, good to be able to have cold water for her face., great	Amy feels accomplished, good to be able to have cold water for her face., great
dia272_utt4	Others feel none, in charge, less burdened	Garrett feels none, in charge, less burdened
dia272_utt5	Others feel content, none, stronger	Dina feels content, none, stronger
dia273_utt0	Others feel resourceful, needed, kind	Garrett feels resourceful, needed, kind
dia273_utt1	Others feel like they made a good decision., glad to have been given importance, none	Kelly feels like they made a good decision., glad to have been given importance, none
dia273_utt2	Others feel none, happy, loved	Kelly feels none, happy, loved
dia273_utt3	Others feel happy and excited, none, none	Amy feels happy and excited, none, none
dia273_utt4	Others feel relieved, helpful, relieved	superstore person1 feels relieved, helpful, relieved
dia273_utt5	Others feel controlled, powerful, good	Amy feels controlled, powerful, good
dia282_utt0	Others feel full, content, like a failure	Carol feels full, content, like a failure
dia282_utt1	Others feel like they learned something, positive, like a better person	Kelly feels like they learned something, positive, like a better person
dia282_utt2	Others feel pride, good from their workout, tired	Carol feels pride, good from their workout, tired
dia282_utt3	Others feel accomplished, happy, relieved	Carol feels accomplished, happy, relieved
dia282_utt4	Others feel ugly inside, terrible, defensive	Carol feels ugly inside, terrible, defensive
dia282_utt5	Others feel none, like he's entitled to that object., angry	Carol feels none, like he's entitled to that object., angry
dia287_utt0	Others feel none, happy to experience a wide range of food flavors and textures, none	Jonah feels none, happy to experience a wide range of food flavors and textures, none
dia287_utt1	Others feel also happy., drunk, happy and peaceful	Jonah feels also happy., drunk, happy and peaceful
dia287_utt2	Others feel none, none, happy	Kelly feels none, none, happy
dia287_utt3	Others feel confused, none, none	Jonah feels confused, none, none
dia287_utt4	Others feel none, none, satisfied	Kelly feels none, none, satisfied
dia287_utt5	Others feel happy, content, full	Jonah feels happy, content, full
dia292_utt0	Others feel none, excited to save money, relieved they're in time	Garrett feels none, excited to save money, relieved they're in time
dia292_utt1	Others feel relieved, shy about the attention, none	Jeff feels relieved, shy about the attention, none
dia292_utt2	Others feel angry, powerful, angry	Garrett feels angry, powerful, angry
dia292_utt3	Others feel distraught, relieved, hope.	Garrett feels distraught, relieved, hope.
dia292_utt4	Others feel excited, accomplished, none	Garrett feels excited, accomplished, none
dia292_utt5	Others feel none, sad, angry	Jeff feels none, sad, angry
dia294_utt0	Others feel thankful, connected, content	Amy feels thankful, connected, content
dia294_utt1	Others feel grateful, grateful, relieved	Dina feels grateful, grateful, relieved
dia294_utt2	Others feel like they should give him the answer, interested, friendly	Dina feels like they should give him the answer, interested, friendly
dia294_utt3	Others feel like they should give him the answer, grateful, interested	Dina feels like they should give him the answer, grateful, interested
dia294_utt4	Others feel none, none, very pretty and looking good	superstore person1 feels none, none, very pretty and looking good
dia294_utt5	Others feel like x earned something, pleasing, cowed	Dina feels like x earned something, pleasing, cowed
dia294_utt6	Others feel none, happy, fun	Amy feels none, happy, fun
dia294_utt7	Others feel satisfied, organized, none	Amy feels satisfied, organized, none
dia294_utt8	Others feel good., like a delivery guy, giving	Dina feels good., like a delivery guy, giving
dia294_utt9	Others feel energized, proud, on top of the world	Amy feels energized, proud, on top of the world
dia294_utt10	Others feel happy., relieved, annoyed	superstore person2 feels happy., relieved, annoyed
dia294_utt11	Others feel happy., relieved, annoyed	Amy feels happy., relieved, annoyed
dia294_utt12	Others feel none, happy, fun	superstore person2 feels none, happy, fun
dia294_utt13	Others feel happy., relieved, annoyed	Amy feels happy., relieved, annoyed
dia298_utt0	Others feel none, excited to save money, relieved they're in time	Glenn feels none, excited to save money, relieved they're in time
dia298_utt1	Others feel none, excited to save money, relieved they're in time	Garrett feels none, excited to save money, relieved they're in time
dia298_utt2	Others feel fulfilled, satisfied, full	Garrett feels fulfilled, satisfied, full
dia298_utt3	Others feel amazed, satisfied, helpful	Glenn feels amazed, satisfied, helpful
dia298_utt4	Others feel happy, entertained, happy	Glenn feels happy, entertained, happy
dia301_utt0	Others feel satisfied, none, none	Dina feels satisfied, none, none
dia301_utt1	Others feel none, none, depressed	Glenn feels none, none, depressed
dia301_utt2	Others feel full, interested, friendly	Glenn feels full, interested, friendly
dia301_utt3	Others feel like they made a good decision., glad to have been given importance, none	Glenn feels like they made a good decision., glad to have been given importance, none
dia301_utt4	Others feel happy, proud, none	Cheyenne feels happy, proud, none
dia301_utt5	Others feel relieved, happy, grateful	Myrtle feels relieved, happy, grateful
dia301_utt6	Others feel none, good and productive., proud	Myrtle feels none, good and productive., proud
dia301_utt7	Others feel overjoyed on receiving help., loved, happy to help.	Glenn feels overjoyed on receiving help., loved, happy to help.
dia301_utt8	Others feel that he get a new idea, none, none	Jonah feels that he get a new idea, none, none
dia301_utt9	Others feel that he get a new idea, none, none	Glenn feels that he get a new idea, none, none
dia301_utt10	Others feel surprised, confused, content	Amy feels surprised, confused, content
dia301_utt11	Others feel that he get a new idea, none, none	Glenn feels that he get a new idea, none, none
dia301_utt12	Others feel none, glad, satisfied	Amy feels none, glad, satisfied
dia301_utt13	Others feel none, satisfied, sated	Glenn feels none, satisfied, sated
dia301_utt14	Others feel happy, annoyed, happy	Garrett feels happy, annoyed, happy
dia301_utt15	Others feel none, athletic, grateful.	Garrett feels none, athletic, grateful.
dia301_utt16	Others feel happy to experience a wide range of food flavors and textures, none, guilty for using food as medication	superstore person1 feels happy to experience a wide range of food flavors and textures, none, guilty for using food as medication
dia301_utt17	Others feel frustrated, none, satisfied	superstore person1 feels frustrated, none, satisfied
dia301_utt18	Others feel none, excited to save money, relieved they're in time	superstore person1 feels none, excited to save money, relieved they're in time
dia301_utt19	Others feel foolish, sad, shocked	superstore person1 feels foolish, sad, shocked
dia301_utt20	Others feel better happy, good, better	superstore person1 feels better happy, good, better
dia301_utt21	Others feel attentive, annoyed, happy	Glenn feels attentive, annoyed, happy
dia301_utt22	Others feel like they made a good decision., glad to have been given importance, none	superstore person1 feels like they made a good decision., glad to have been given importance, none
dia301_utt23	Others feel relieved, happy., bored	Jonah feels relieved, happy., bored
dia317_utt0	Others feel sad, better about their eyesight., accomplished.	Amy feels sad, better about their eyesight., accomplished.
dia317_utt1	Others feel cared about, none, pleased	Jonah feels cared about, none, pleased
dia317_utt2	Others feel none, lucky, hopeful	Marcus feels none, lucky, hopeful
dia317_utt3	Others feel none, excited, anxious	Marcus feels none, excited, anxious
dia317_utt4	Others feel embarrased, sick, none	Amy feels embarrased, sick, none
dia317_utt5	Others feel like they made a good decision., glad to have been given importance, warm	Marcus feels like they made a good decision., glad to have been given importance, warm
dia317_utt6	Others feel competent, content, obedient	Marcus feels competent, content, obedient
dia317_utt7	Others feel none, good, none	Jonah feels none, good, none
dia317_utt8	Others feel none, none, happy	Jonah feels none, none, happy
dia317_utt9	Others feel relaxed., none, more involved	Nico feels relaxed., none, more involved
dia317_utt10	Others feel ashamed, embarrassed, none	Jonah feels ashamed, embarrassed, none
dia317_utt11	Others feel connected, none, like they have suited their own expectations	Marcus feels connected, none, like they have suited their own expectations
dia317_utt12	Others feel like they made a good decision., glad to have been given importance, complete	Amy feels like they made a good decision., glad to have been given importance, complete
dia317_utt13	Others feel good., generous, loved.	Cheyenne feels good., generous, loved.
dia317_utt14	Others feel less pain in his feet, more clear-headed about his outlook, free of some commitments	Jonah feels less pain in his feet, more clear-headed about his outlook, free of some commitments
dia317_utt15	Others feel hurt, grateful, frustrated	Garrett feels hurt, grateful, frustrated
dia322_utt0	Others feel meddling, unwanted, meddled with	Glenn feels meddling, unwanted, meddled with
dia322_utt1	Others feel relaxed, satisfied, giving	Glenn feels relaxed, satisfied, giving
dia322_utt2	Others feel surprised, none, none	Glenn feels surprised, none, none
dia322_utt3	Others feel satisfied., curious, relieved	Glenn feels satisfied., curious, relieved
dia322_utt4	Others feel none, connected, happy	superstore person4 feels none, connected, happy
dia322_utt5	Others feel none, none, none	Glenn feels none, none, none
dia322_utt6	Others feel none, none, none	Garrett feels none, none, none
dia322_utt7	Others feel dirty, dirty, dirty	Glenn feels dirty, dirty, dirty
dia322_utt8	Others feel assured, accomplished, grateful	Garrett feels assured, accomplished, grateful
dia322_utt9	Others feel happy., uneasy, none	Glenn feels happy., uneasy, none
dia322_utt10	Others feel suspicious, proud, accomplished	Cheyenne feels suspicious, proud, accomplished
dia322_utt11	Others feel none, cautious, responsible	Glenn feels none, cautious, responsible
dia322_utt12	Others feel none, none, none	Amy feels none, none, none
dia322_utt13	Others feel nice, controlled, glad to have been given importance	Glenn feels nice, controlled, glad to have been given importance
dia330_utt0	Others feel none, none, none	Amy feels none, none, none
dia330_utt1	Others feel satisfied, satisfied, hungry	superstore person1 feels satisfied, satisfied, hungry
dia330_utt2	Others feel satisfied, satisfied, hungry	superstore person1 feels satisfied, satisfied, hungry
dia330_utt3	Others feel none, hurt, frusterated	superstore person1 feels none, hurt, frusterated
dia330_utt4	Others feel none, exhilarated., exhilarated.	Amy feels none, exhilarated., exhilarated.
dia330_utt5	Others feel interested, healthy, none	Amy feels interested, healthy, none
dia330_utt6	Others feel none, exhilarated., exhilarated.	superstore person1 feels none, exhilarated., exhilarated.
dia330_utt7	Others feel blessed, excited, loved	Amy feels blessed, excited, loved
dia330_utt8	Others feel none, exhilarated., exhilarated.	superstore person1 feels none, exhilarated., exhilarated.
dia330_utt9	Others feel positive, accomplished, better	Amy feels positive, accomplished, better
dia330_utt10	Others feel unoriginal, excited because both are looks same, none	superstore person1 feels unoriginal, excited because both are looks same, none
dia330_utt11	Others feel grateful, none, exhausted	superstore person1 feels grateful, none, exhausted
dia330_utt12	Others feel grateful, happy to be thought of, happy that they tried their best	Amy feels grateful, happy to be thought of, happy that they tried their best
dia330_utt13	Others feel alarmed that he's driving home drunk, scared about it, happy	Amy feels alarmed that he's driving home drunk, scared about it, happy
dia331_utt0	Others feel annoyed, anxious, scared	Cheyenne feels annoyed, anxious, scared
dia331_utt1	Others feel none, content with his performance, happy to have a dedicated worker	Dina feels none, content with his performance, happy to have a dedicated worker
dia331_utt2	Others feel none, none, impressed	Nico feels none, none, impressed
dia331_utt3	Others feel tired, none, none	Nico feels tired, none, none
dia331_utt4	Others feel happy, intrigued, happy,honesty	Amy feels happy, intrigued, happy,honesty
dia331_utt5	Others feel none, none, impatient	Amy feels none, none, impatient
dia331_utt6	Others feel peaceful, relaxed, happy.	Nico feels peaceful, relaxed, happy.
dia331_utt7	Others feel none, exhilarated., exhilarated.	Dina feels none, exhilarated., exhilarated.
dia331_utt8	Others feel loved, cherished, none	Amy feels loved, cherished, none
dia331_utt9	Others feel happy to have them, none, none	Amy feels happy to have them, none, none
dia331_utt10	Others feel satisfied, talented, relaxed	Dina feels satisfied, talented, relaxed
dia331_utt11	Others feel happy to keep x warm, altruistic, helpful	Dina feels happy to keep x warm, altruistic, helpful
dia331_utt12	Others feel none, none, engaged	Dina feels none, none, engaged
dia331_utt13	Others feel concerned, informed, none	Dina feels concerned, informed, none
dia334_utt0	Others feel helped, crowded, neutral.	Garrett feels helped, crowded, neutral.
dia334_utt1	Others feel fulfilled, wealthy., great	Jonah feels fulfilled, wealthy., great
dia334_utt2	Others feel helped, crowded, neutral.	Garrett feels helped, crowded, neutral.
dia334_utt3	Others feel tensed, none, none	Garrett feels tensed, none, none
dia340_utt0	Others feel none, trustworthy, surprised	Cheyenne feels none, trustworthy, surprised
dia340_utt1	Others feel none, none, attacked	Amy feels none, none, attacked
dia340_utt2	Others feel none, none, impatient	Sandra feels none, none, impatient
dia340_utt3	Others feel none, excited, satisfied	Jonah feels none, excited, satisfied
dia340_utt4	Others feel nervous., helpful, relieved	Cheyenne feels nervous., helpful, relieved
dia340_utt5	Others feel none, wise, proud	Amy feels none, wise, proud
dia340_utt6	Others feel none, none, fulfilled.	Sandra feels none, none, fulfilled.
dia340_utt7	Others feel loved, embarrassed, ashamed, none	Jonah feels loved, embarrassed, ashamed, none
dia340_utt8	Others feel happy since they are getting something, happy, satisfied	Jonah feels happy since they are getting something, happy, satisfied
dia340_utt9	Others feel none, good for teaching someone, satisfied	Dina feels none, good for teaching someone, satisfied
dia340_utt10	Others feel guilty, in love, intelligent	Dina feels guilty, in love, intelligent
dia340_utt11	Others feel sad, lonely, proactive.	Amy feels sad, lonely, proactive.
dia340_utt12	Others feel none, cautious, responsible	Jonah feels none, cautious, responsible
dia340_utt13	Others feel excited, nostalgic, none	Amy feels excited, nostalgic, none
dia340_utt14	Others feel mad at themselves, upset, thankful	Nico feels mad at themselves, upset, thankful
dia340_utt15	Others feel happy, comfortable, happy	Jonah feels happy, comfortable, happy
dia342_utt0	Others feel full and refreshed, full, none	Glenn feels full and refreshed, full, none
dia342_utt1	Others feel love for music, love for music also., concerned for his health	Glenn feels love for music, love for music also., concerned for his health
dia342_utt2	Others feel satisfied, happy, happy	Glenn feels satisfied, happy, happy
dia342_utt3	Others feel annoyed, anxious, annoyed	Glenn feels annoyed, anxious, annoyed
dia342_utt4	Others feel none, connected, satisfied	Glenn feels none, connected, satisfied
dia342_utt5	Others feel none, none, none	Sandra feels none, none, none
dia342_utt6	Others feel none, none, none	Glenn feels none, none, none
dia342_utt7	Others feel happy, entertained, happy	Glenn feels happy, entertained, happy
dia342_utt8	Others feel understood, understanding, none	Glenn feels understood, understanding, none
dia342_utt9	Others feel productive, less worried, relieved	Glenn feels productive, less worried, relieved
dia342_utt10	Others feel happy, fun, noticed	Sandra feels happy, fun, noticed
dia342_utt11	Others feel satisfied, satisfied, satisated	Glenn feels satisfied, satisfied, satisated
dia342_utt12	Others feel none, off-kilter, none	Glenn feels none, off-kilter, none
dia342_utt13	Others feel traumatized, dead, shocked	Glenn feels traumatized, dead, shocked
dia342_utt14	Others feel ambitious, accomplished, exhausted	Glenn feels ambitious, accomplished, exhausted
dia342_utt15	Others feel responsible, satisfied, accomplished	Sandra feels responsible, satisfied, accomplished
dia342_utt16	Others feel none, groggy, happy	Sandra feels none, groggy, happy
dia342_utt17	Others feel dominant, controlling, superior	Glenn feels dominant, controlling, superior
dia342_utt18	Others feel flustered, clumsy, embarrased	Glenn feels flustered, clumsy, embarrased
dia343_utt0	Others feel content, none, proud	superstore person1 feels content, none, proud
dia343_utt1	Others feel less hungry, relieved, responsive	superstore person1 feels less hungry, relieved, responsive
dia343_utt2	Others feel happy, happy, suprised	Garrett feels happy, happy, suprised
dia343_utt3	Others feel none, none, none	Garrett feels none, none, none
dia343_utt4	Others feel helpful, powerful, comforting, loved	Garrett feels helpful, powerful, comforting, loved
dia345_utt0	Others feel happy, relaxed, relieved	Glenn feels happy, relaxed, relieved
dia345_utt1	Others feel none, none, none	Marcus feels none, none, none
dia345_utt2	Others feel sad, regretful that they got in trouble., none	Garrett feels sad, regretful that they got in trouble., none
dia345_utt3	Others feel curious, bad because now she has to buy a new lock, none	Garrett feels curious, bad because now she has to buy a new lock, none
dia345_utt4	Others feel informative, none, rejected	Glenn feels informative, none, rejected
dia345_utt5	Others feel concerned, interested, worried	Glenn feels concerned, interested, worried
dia345_utt6	Others feel happy, thankful, contented	Amy feels happy, thankful, contented
dia345_utt7	Others feel good, helpful, guilty about it	Jonah feels good, helpful, guilty about it
dia345_utt8	Others feel proud, very like, well made up	Jonah feels proud, very like, well made up
dia345_utt9	Others feel none, none, none	Marcus feels none, none, none
dia345_utt10	Others feel depends on whether they caused it or was recipient, none, irritated	Glenn feels depends on whether they caused it or was recipient, none, irritated
dia345_utt11	Others feel satisfied, none, happy	Dina feels satisfied, none, happy
dia345_utt12	Others feel satisfied with himself, angry and humiliated, sad	Sandra feels satisfied with himself, angry and humiliated, sad
dia345_utt13	Others feel good about themselves, vindicated, confident	Sandra feels good about themselves, vindicated, confident
dia346_utt0	Others feel confident about handling  everything., great, successful	Jonah feels confident about handling  everything., great, successful
dia346_utt1	Others feel happy, upset, content	Jonah feels happy, upset, content
dia346_utt2	Others feel competitive, like the game is measured fairly, informed	Amy feels competitive, like the game is measured fairly, informed
dia346_utt3	Others feel humiliated, shocked, none	Amy feels humiliated, shocked, none
dia346_utt4	Others feel scared, satisfied, giving	Amy feels scared, satisfied, giving
dia346_utt5	Others feel doubtful,unhappy, accomodating, none	Jonah feels doubtful,unhappy, accomodating, none
dia354_utt0	Others feel scared, worried, hurt	Garrett feels scared, worried, hurt
dia354_utt1	Others feel none, successful, athletic	superstore person1 feels none, successful, athletic
dia354_utt2	Others feel happy, sad, happy	superstore person1 feels happy, sad, happy
dia354_utt3	Others feel happy, content, happy	Garrett feels happy, content, happy
dia354_utt4	Others feel wonderful, joyful, tired	Garrett feels wonderful, joyful, tired
dia355_utt0	Others feel none, none, pleased	Dina feels none, none, pleased
dia355_utt1	Others feel none, relaxed, relieved	Sandra feels none, relaxed, relieved
dia355_utt2	Others feel like a looser, saddened, none	Dina feels like a looser, saddened, none
dia355_utt3	Others feel none, embarrased, arrogant	Dina feels none, embarrased, arrogant
dia355_utt4	Others feel happy, good, talkative	Sandra feels happy, good, talkative
dia359_utt0	Others feel happy., proud, upset	Glenn feels happy., proud, upset
dia359_utt1	Others feel joyful, happy., happy	Marcus feels joyful, happy., happy
dia359_utt2	Others feel none, rewarded., more energized	Marcus feels none, rewarded., more energized
dia359_utt3	Others feel none, appreciative, none	Dina feels none, appreciative, none
dia359_utt4	Others feel sad, angry, stressed out	Sandra feels sad, angry, stressed out
dia359_utt5	Others feel none, angry, stressed out	Sandra feels none, angry, stressed out
dia359_utt6	Others feel loved, upset, stressed	Cheyenne feels loved, upset, stressed
dia359_utt7	Others feel scared, worried, nervous	Cheyenne feels scared, worried, nervous
dia359_utt8	Others feel motivated, none, ecstatic	Dina feels motivated, none, ecstatic
dia359_utt9	Others feel embarrased, sick, none	Dina feels embarrased, sick, none
dia359_utt10	Others feel happy, happy, happy	Dina feels happy, happy, happy
dia359_utt11	Others feel angry that their privacy is broken., intruded upon, ecstatic	Amy feels angry that their privacy is broken., intruded upon, ecstatic
dia359_utt12	Others feel nervous, stupid, frustrated because they're embarrassed.	Cheyenne feels nervous, stupid, frustrated because they're embarrassed.
dia359_utt13	Others feel relieved, helpful, relieved	Glenn feels relieved, helpful, relieved
dia359_utt14	Others feel happy, none, happy	Glenn feels happy, none, happy
dia359_utt15	Others feel happy, full, miserable	Glenn feels happy, full, miserable
dia366_utt0	Others feel excited, satisfied for having helped., remembered	Amy feels excited, satisfied for having helped., remembered
dia366_utt1	Others feel none, none, accomplished	Amy feels none, none, accomplished
dia366_utt2	Others feel proud, none, none	Amy feels proud, none, none
dia366_utt3	Others feel none, scared, nervous, none	superstore person1 feels none, scared, nervous, none
dia366_utt4	Others feel annoyed, dominant., amused	superstore person2 feels annoyed, dominant., amused
dia366_utt5	Others feel proud, eager, anxious	Amy feels proud, eager, anxious
dia366_utt6	Others feel none, nan, none	Amy feels none, nan, none
dia366_utt7	Others feel none, sickened by bad food, happy	Jonah feels none, sickened by bad food, happy
dia366_utt8	Others feel relieved, none, grateful	Amy feels relieved, none, grateful
dia366_utt9	Others feel none, wild, glad that there was no outburst	Amy feels none, wild, glad that there was no outburst
dia366_utt10	Others feel competitive, like the game is measured fairly, informed	superstore person1 feels competitive, like the game is measured fairly, informed
dia366_utt11	Others feel none, happy, irritated	Amy feels none, happy, irritated
dia366_utt12	Others feel excited, none, none	Amy feels excited, none, none
dia366_utt13	Others feel undressed, none, none	superstore person2 feels undressed, none, none
dia375_utt0	Others feel terrified, none, none	Glenn feels terrified, none, none
dia375_utt1	Others feel excited, like they discovered something new to them, none	Garrett feels excited, like they discovered something new to them, none
dia375_utt2	Others feel terrified, none, none	Glenn feels terrified, none, none
dia378_utt0	Others feel surprised, tense, good	Dina feels surprised, tense, good
dia378_utt1	Others feel none, adorable, lucky	Amy feels none, adorable, lucky
dia378_utt2	Others feel guilty, satisfied, none	Dina feels guilty, satisfied, none
dia378_utt3	Others feel guilty, satisfied, none	Dina feels guilty, satisfied, none
dia378_utt4	Others feel disregard for friend, desire for her, mischevious	Dina feels disregard for friend, desire for her, mischevious
dia378_utt5	Others feel none, none, none	Dina feels none, none, none
dia380_utt0	Others feel none, excited to save money, relieved they're in time	Nico feels none, excited to save money, relieved they're in time
dia380_utt1	Others feel happy, none, happy	Jonah feels happy, none, happy
dia380_utt2	Others feel annoyed about his behaviour, important, proud	Nico feels annoyed about his behaviour, important, proud
dia380_utt3	Others feel neutral, happy, inspiring	Jonah feels neutral, happy, inspiring
dia380_utt4	Others feel pleased, content, full	Nico feels pleased, content, full
dia387_utt0	Others feel happy, joy, relieved	Amy feels happy, joy, relieved
dia387_utt1	Others feel none, productive, powerless	Dina feels none, productive, powerless
dia387_utt2	Others feel happy, none, none	Amy feels happy, none, none
dia389_utt0	Others feel none, none, good	Dina feels none, none, good
dia389_utt1	Others feel wary, full, happy	Dina feels wary, full, happy
dia389_utt2	Others feel none, none, happy	Dina feels none, none, happy
dia389_utt3	Others feel none, fear, pain	Amy feels none, fear, pain
dia389_utt4	Others feel pleased, content, full	Dina feels pleased, content, full
dia389_utt5	Others feel loved, in love, lucky	Amy feels loved, in love, lucky
dia389_utt6	Others feel loved, in love, lucky	Amy feels loved, in love, lucky
dia389_utt7	Others feel scared, concern, scared.	Dina feels scared, concern, scared.
dia389_utt8	Others feel undressed, none, none	Dina feels undressed, none, none
dia389_utt9	Others feel none, motivated, strong	Dina feels none, motivated, strong
dia389_utt10	Others feel none, motivated, strong	Dina feels none, motivated, strong
dia389_utt11	Others feel like they made a good decision., glad to have been given importance, none	Amy feels like they made a good decision., glad to have been given importance, none
dia389_utt12	Others feel none, motivated, strong	Amy feels none, motivated, strong
dia389_utt13	Others feel like they made a good decision., glad to have been given importance, good	Amy feels like they made a good decision., glad to have been given importance, good
dia390_utt0	Others feel like a cog in the machine, none, satisfied that he has given the information to peson	Amy feels like a cog in the machine, none, satisfied that he has given the information to peson
dia390_utt1	Others feel none, satisfied, better	Amy feels none, satisfied, better
dia390_utt2	Others feel relieved., none, none	Amy feels relieved., none, none
dia390_utt3	Others feel like they are having a good time, good about personx's ability to throw a party, congenial	Amy feels like they are having a good time, good about personx's ability to throw a party, congenial
dia390_utt4	Others feel proud, proud, none	Amy feels proud, proud, none
dia390_utt5	Others feel dominant, none, upset	Amy feels dominant, none, upset
dia390_utt6	Others feel proud, proud, none	Amy feels proud, proud, none
dia390_utt7	Others feel flattered, excited, happy	Amy feels flattered, excited, happy
dia390_utt8	Others feel concerned, sad, sad	Amy feels concerned, sad, sad
dia390_utt9	Others feel helped, crowded, neutral.	Amy feels helped, crowded, neutral.
dia390_utt10	Others feel helpful, happy, of assistance.	Dina feels helpful, happy, of assistance.
dia390_utt11	Others feel brand new, nervous, none	Dina feels brand new, nervous, none
dia390_utt12	Others feel like they made a good decision., glad to have been given importance, good	Amy feels like they made a good decision., glad to have been given importance, good
dia390_utt13	Others feel none, none, stuffed	Amy feels none, none, stuffed
dia390_utt14	Others feel one with the planet, useful, nourished	Dina feels one with the planet, useful, nourished
dia390_utt15	Others feel lonely, none, none	Dina feels lonely, none, none
dia390_utt16	Others feel less hungry, full, terrified	Dina feels less hungry, full, terrified
dia393_utt0	Others feel crafty, unified, none	Dina feels crafty, unified, none
dia393_utt1	Others feel none, intrigued, wondering	Dina feels none, intrigued, wondering
dia393_utt2	Others feel like they had an mishap, none, none	Glenn feels like they had an mishap, none, none
dia393_utt3	Others feel eager, excited, thrilled	Glenn feels eager, excited, thrilled
dia406_utt0	Others feel excited, satisfied for having helped., remembered	Jonah feels excited, satisfied for having helped., remembered
dia406_utt1	Others feel happy, none, none	Amy feels happy, none, none
dia406_utt2	Others feel happy, kind, tired	Amy feels happy, kind, tired
dia406_utt3	Others feel pleased, content, full	Jonah feels pleased, content, full
dia406_utt4	Others feel happy, helpful, relieved	Jonah feels happy, helpful, relieved
dia406_utt5	Others feel ashamed, bad looking body, athletic	Jonah feels ashamed, bad looking body, athletic
dia406_utt6	Others feel none, none, depressed	Amy feels none, none, depressed
dia406_utt7	Others feel calm, none, included	Amy feels calm, none, included
dia406_utt8	Others feel godlike, happy, none	Jonah feels godlike, happy, none
dia406_utt9	Others feel happy, full, satisfied	Jonah feels happy, full, satisfied
dia406_utt10	Others feel excited, playful, none	Jonah feels excited, playful, none
dia406_utt11	Others feel happy with what he bought, happy, none	Amy feels happy with what he bought, happy, none
dia406_utt12	Others feel eternal gratitude, confident, satisfied	Jonah feels eternal gratitude, confident, satisfied
dia406_utt13	Others feel amazed, satisfied, happy	Amy feels amazed, satisfied, happy
dia406_utt14	Others feel eager, proud about himself, loved	Jonah feels eager, proud about himself, loved
dia406_utt15	Others feel regretful and foolish, scared., excited	Amy feels regretful and foolish, scared., excited
dia423_utt0	Others feel surprising, tired, friendly	Jonah feels surprising, tired, friendly
dia423_utt1	Others feel mad at themselves, upset, sad	Jonah feels mad at themselves, upset, sad
dia423_utt2	Others feel angry, none, stuffed	Amy feels angry, none, stuffed
dia423_utt3	Others feel none, warmer, satisfied	Jonah feels none, warmer, satisfied
dia429_utt0	Others feel none, annoyed, irritated	superstore person2 feels none, annoyed, irritated
dia429_utt1	Others feel satiated, none, intrigued	Marcus feels satiated, none, intrigued
dia429_utt2	Others feel happy, happy, alone	Marcus feels happy, happy, alone
dia433_utt0	Others feel responsible, glad for having the opportunity to correct, grateful	Glenn feels responsible, glad for having the opportunity to correct, grateful
dia433_utt1	Others feel none, adventurous, hopeful	Glenn feels none, adventurous, hopeful
dia433_utt2	Others feel proud, helpful, proud that he was there for person	Jonah feels proud, helpful, proud that he was there for person
dia433_utt3	Others feel helpful, satisfied, happy	Amy feels helpful, satisfied, happy
dia433_utt4	Others feel none, attentive, happy	Garrett feels none, attentive, happy
dia433_utt5	Others feel scared, nostalgic, none	Glenn feels scared, nostalgic, none
dia433_utt6	Others feel sleepy, tired, feel satisfied.	Nico feels sleepy, tired, feel satisfied.
dia433_utt7	Others feel disappointed., frustrated, like they've been answered	Glenn feels disappointed., frustrated, like they've been answered
dia433_utt8	Others feel relieved that they were able to wake person up, disappointed, understood.	Glenn feels relieved that they were able to wake person up, disappointed, understood.
dia433_utt9	Others feel genuine, loved, good	Glenn feels genuine, loved, good
dia433_utt10	Others feel sad, very sad, relieved	Glenn feels sad, very sad, relieved
dia433_utt11	Others feel none, sad, distraught	Glenn feels none, sad, distraught
dia433_utt12	Others feel relieved, happy, relieved	Glenn feels relieved, happy, relieved
dia433_utt13	Others feel loved., happy, upset	Dina feels loved., happy, upset
dia433_utt14	Others feel none, happy, happy	Jonah feels none, happy, happy
dia435_utt0	Others feel none, none, none	Dina feels none, none, none
